name,base,heavy,dg_off
Bus 1 (Slack),1.02,1.02,1.02
Bus 2 (Load),1.0198395945856646,1.0197519664636638,1.0198092716878837
Bus 3 (DG),1.0198925373158074,1.0198318626673417,1.019842817670609
