time,grid_import_mw,min_bus_vm_pu,max_line_loading_%,pv_mw,load_mw,bat_discharge_mw,bat_charge_mw,soc_kwh,tariff,grid_import_opt_kW,grid_import_base_kW
2025-08-13 00:00:00+05:30,0.0015433895742513087,0.999998214259459,0.0008100690106311181,0.0,0.0015302124518857436,0.0,1.31743662760572e-05,4.012781464173923,0.12,1.5302148214846838,1.5170380856096863
2025-08-13 01:00:00+05:30,0.0015239415346142544,0.9999982367613366,0.0007998614480319426,0.0,0.001511983422124486,0.0,1.1955425420815734e-05,4.024380369433738,0.12,1.5119857072665004,1.5000279967036703
2025-08-13 02:00:00+05:30,0.0015337124522696608,0.9999982254561358,0.0008049898442683079,0.0,0.0015256250057153562,0.0,8.084724918036432e-06,4.032223880202355,0.12,1.5256262903665108,1.5175402807973197
2025-08-13 03:00:00+05:30,0.0015767512912332514,0.9999981756591018,0.0008275793520925754,0.0,0.0015747672965112263,0.0,1.981118194236288e-06,4.034146034328574,0.12,1.5747676395606918,1.57278617831699
2025-08-13 04:00:00+05:30,0.0016641216507126495,0.9999980745693656,0.0008734368467823171,3.0785475141778675e-05,0.001692099391145985,0.0,2.804530562433135e-06,4.0368665119661635,0.12,1.6613142579371816,1.6585093854417732
2025-08-13 05:00:00+05:30,0.0015040858026940688,0.9999982597349238,0.0007894399024338167,0.0004569547657115002,0.0019570210187854634,1.1618148924213872e-09,4.018093930544626e-06,4.040762863826572,0.12,1.5000650231036403,1.496048159143419
2025-08-13 06:00:00+05:30,0.0014626630695507097,0.9999983076620814,0.0007676986280268187,0.0010330081676883218,0.002491465141036206,2.60694077916569e-09,4.206227826685016e-06,4.044840214655539,0.12,1.4584536679492748,1.4542507455211993
2025-08-13 07:00:00+05:30,0.0016080869800548549,0.9999981394029103,0.0008440263053957805,0.0016000495096186646,0.0032046210801336674,2.5582162125615444e-09,3.514975758436358e-06,4.048247100816094,0.12,1.6045686519657378,1.6010565947565667
2025-08-13 08:00:00+05:30,0.0015401042591812184,0.9999982180606526,0.0008083446692604574,0.00209931931605433,0.003634416411310929,2.4692004778392762e-09,5.006888756518378e-06,4.0531012344504385,0.12,1.5350942759222281,1.530090206500081
2025-08-13 09:00:00+05:30,0.0009688822776074787,0.9999988789789712,0.0005085311426315628,0.002490734750864891,0.0034553618921433615,1.7372405580164628e-09,4.255787433104762e-06,4.0572275549411465,0.12,0.9646253709655667,0.9603713538453653
2025-08-13 10:00:00+05:30,0.0002360513178646561,0.9999997268827603,0.00012389480068777286,0.00274522651350089,0.002975750286880622,9.576663431959276e-10,5.528437681597135e-06,4.062589150524336,0.12,0.23052305591393352,0.22499533569813446
2025-08-13 11:00:00+05:30,0.000278836492717014,0.9999996773792473,0.0001463511896769316,0.0028443967631911777,0.002879625268302046,7.451529585783493e-10,0.00024360864280068744,4.298888764651482,0.12,0.03522784299746133,0.0
2025-08-13 12:00:00+05:30,0.0008568415409854359,0.9999990086129275,0.00044972504374062874,0.002781107680613144,0.0030818939754775846,4.177925317815376e-10,0.0005560548144525548,4.838261503127545,0.12,0.3007860189822163,0.0
2025-08-13 13:00:00+05:30,0.0007006291253874239,0.9999991893546204,0.0003677348331023355,0.00255979878254293,0.002883364783249643,1.5237927444766925e-10,0.0003770627090985797,5.204012173187813,0.12,0.32356614635384195,0.0
2025-08-13 14:00:00+05:30,0.0009230546258303318,0.99999893200272,0.0004844778790937404,0.0021962915338841807,0.0028043051807638327,2.0033656771175458e-10,0.00031504019346823605,5.509600953500081,0.12,0.6080138279988054,0.2929734534114159
2025-08-13 15:00:00+05:30,0.0024227258334447244,0.9999971968448184,0.0012716002211811545,0.0017172274182878592,0.0033079180346630606,6.590825015513041e-10,0.0008320290848903453,6.316668485162985,0.12,1.5906902328502985,0.7586615314848562
2025-08-13 16:00:00+05:30,0.0048673591856608755,0.999994368307344,0.0025547010329843253,0.001160005824809694,0.004291948172231729,1.431079417055179e-09,0.001735390858029315,7.999996140614105,0.12,3.1319407621813453,1.3965514893927196
2025-08-13 17:00:00+05:30,0.0006061882631644552,0.9999992986250671,0.00031816625801212684,0.0005777770581755963,0.0028666684586057503,0.0016827035624307192,0.0,6.265246886325974,0.3,0.6061869586605628,2.2888914004301544
2025-08-13 18:00:00+05:30,0.0018127274499646453,0.9999979026286548,0.0009514345698944321,8.843972776129056e-05,0.003330515627261517,0.0014293522514919937,0.0,4.791682222609168,0.3,1.8127205274434166,3.2420758995002266
2025-08-13 19:00:00+05:30,0.0022921960932948,0.9999973478711027,0.0012030899864249429,0.0,0.0035000000000031503,0.0012078099858953172,0.0,3.546507361925728,0.3,2.292183560747235,3.5000000000031504
2025-08-13 20:00:00+05:30,0.0017048912839336572,0.9999980273978584,0.0008948353299245074,0.0,0.003071696581823971,0.001366808660957356,0.0,2.137409273237654,0.3,1.7048765077551211,3.071696581823971
2025-08-13 21:00:00+05:30,0.0006814463180299556,0.99999921154961,0.0003576664752125465,0.0,0.002366668435760781,0.0016852226550171116,0.0,0.40003792077164385,0.3,0.6814270387265462,2.366668435760781
2025-08-13 22:00:00+05:30,0.0018494392963611696,0.9999978601521082,0.0009707032677352463,0.0,0.0018494495342616453,1.4195412673737336e-08,0.0,0.4000090755350042,0.12,1.8494017104157827,1.8494495342616453
2025-08-13 23:00:00+05:30,0.001609830110507386,0.9999981373860638,0.0008449412104998533,0.0,0.0016098355492846063,8.437264878189047e-09,0.0,0.3999913957583292,0.12,1.6097969871428897,1.6098355492846064
